_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
4847,980,556417,St Catherine Catholic Elementary School,,ES,Toronto Catholic District School Board,30 Roanoke Rd,English Separate,556417,30,Roanoke Rd,30 Roanoke Rd,M3A 1E9,North York,Toronto,St. Catherine Catholic School,102003,442048,30,,,,6558,318900.558,4844501.626,43.74234387,-79.3247423,"{u'type': u'Point', u'coordinates': (-79.3247390775, 43.7423352675)}"
4848,981,7987740,St Cecilia Catholic Elementary School,,ES,Toronto Catholic District School Board,355 Annette St,English Separate,7987740,355,Annette St,355 Annette St,M6P 1R3,former Toronto,Toronto,St. Cecilia Catholic School,102003,7987734,355,,,,2890,306838.688,4835462.253,43.66110836,-79.47452931,"{u'type': u'Point', u'coordinates': (-79.4745260503, 43.6610997708)}"
4849,982,500243,St Charles Catholic Elementary School,,ES,Toronto Catholic District School Board,50 Claver Ave,English Separate,500243,50,Claver Ave,50 Claver Ave,M6B 2W1,North York,Toronto,St. Charles Catholic School,102003,445721,50,,,,5215,308704.564,4841260.206,43.71329049,-79.45135395,"{u'type': u'Point', u'coordinates': (-79.4513506942, 43.7132818927)}"
4850,983,565743,St Charles Garnier Catholic Elementary School,,ES,Toronto Catholic District School Board,20 Stong Crt,English Separate,565743,20,Stong Crt,20 Stong Crt,M3N 2X9,North York,Toronto,St. Charles Garnier,102003,439892,20,,,,6803,303323.613,4846737.773,43.76260428,-79.51814501,"{u'type': u'Point', u'coordinates': (-79.5181417246, 43.7625956882)}"
4851,984,68935,St Clare Catholic Elementary School,,ES,Toronto Catholic District School Board,124 Northcliffe Blvd,English Separate,68935,124,Northcliffe Blvd,124 Northcliffe Blvd,M6E 3K4,York,Toronto,St. Clare Catholic School,102003,8989,124,,,,789,309496.756,4837497.858,43.67942005,-79.44155484,"{u'type': u'Point', u'coordinates': (-79.4415515857, 43.6794114666)}"
4852,985,988595,St Clement Catholic Elementary School,,ES,Toronto Catholic District School Board,4319 Bloor St W,English Separate,988595,4319,Bloor St W,4319 Bloor St W,M9C 2A2,Etobicoke,Toronto,St. Clement Catholic School,102003,912832,4319,,,,458,298828.414,4832259.195,43.63225586,-79.57381148,"{u'type': u'Point', u'coordinates': (-79.5738081912, 43.6322472865)}"
4853,986,30010979,St Clement's Early Learning School,,PR,,70 St Clements Ave,Priv,30010979,70,St Clements Ave,70 St Clements Ave,M4R 1H2,former Toronto,Toronto,,109001,1138155,70,,,,4446,312698.146,4841189.285,43.71261087,-79.40179378,"{u'type': u'Point', u'coordinates': (-79.4017937748, 43.7126108785)}"
4854,987,14200957,St Clements School,,PR,,21 St Clements Ave,Priv,14200957,21,St Clements Ave,21 St Clements Ave,M4R 1G8,former Toronto,Toronto,,115001,1138111,21,,,,4446,312816.5,4841188.4,43.71261022,-79.40032831,"{u'type': u'Point', u'coordinates': (-79.4003250669, 43.712601623)}"
4855,988,349085,St Columba Catholic Elementary School,,ES,Toronto Catholic District School Board,10 John Tabor Trl,English Separate,349085,10,John Tabor Trl,10 John Tabor Trl,M1B 1M9,Scarborough,Toronto,St. Columba Catholic School,102003,104405,10,,,,8200,327970.35,4851621.278,43.80620207,-79.2118306,"{u'type': u'Point', u'coordinates': (-79.2118274058, 43.8061934479)}"
4856,989,557216,St Conrad Catholic Elementary School,,ES,Toronto Catholic District School Board,5 Exbury Rd,English Separate,557216,5,Exbury Rd,5 Exbury Rd,M3M 0A8,North York,Toronto,St. Conrad,102003,30037289,5,,,,5541,305311.594,4843125.9,43.73008525,-79.49345429,"{u'type': u'Point', u'coordinates': (-79.4934542896, 43.7300852556)}"
4857,990,9035656,St Cosmas and Damian Catholic Elementary School,,ES,Toronto Catholic District School Board,111 Danesbury Ave,English Separate,9035656,111,Danesbury Ave,111 Danesbury Ave,M6B 3L3,North York,Toronto,Sts. Cosmas and Damian Catholic School,102003,9035636,111,,,,544,309171.023,4840517.049,43.70659865,-79.44557161,"{u'type': u'Point', u'coordinates': (-79.4455683603, 43.7065900569)}"
4858,991,532995,St Cyril Catholic Elementary School,,ES,Toronto Catholic District School Board,18 Kempford Blvd,English Separate,532995,18,Kempford Blvd,18 Kempford Blvd,M2N 2B9,North York,Toronto,St. Cyril,102003,20233932,18,,,,5948,311489.728,4848347.026,43.77706087,-79.41670444,"{u'type': u'Point', u'coordinates': (-79.4167011773, 43.7770522703)}"
4859,992,9345077,St Demetrius Catholic Elementary School,,ES,Toronto Catholic District School Board,125 La Rose Ave,English Separate,9345077,125,La Rose Ave,125 La Rose Ave,M9P 1A6,Etobicoke,Toronto,St. Demetrius Catholic School,102003,9345057,125,,,,1949,303013.202,4838079.082,43.68466279,-79.52196923,"{u'type': u'Point', u'coordinates': (-79.5219659421, 43.6846542137)}"
4860,993,10431199,St Denis Catholic Elementary School,,ES,Toronto Catholic District School Board,67 Balsam Ave,English Separate,10431199,67,Balsam Ave,67 Balsam Ave,M4E 3B8,former Toronto,Toronto,St. Denis,102003,20043602,67,,,,2944,321725.463,4836805.072,43.67300693,-79.28991082,"{u'type': u'Point', u'coordinates': (-79.2899076163, 43.6729983467)}"
4861,994,14130020,St Dominic Savio Catholic Elementary School,,ES,Toronto Catholic District School Board,50 Tideswell Blvd,English Separate,14130020,50,Tideswell Blvd,50 Tideswell Blvd,M1B 5X3,Scarborough,Toronto,St Dominic Savio Catholic School,102003,6349911,50,,,,10209,332463.789,4850759.657,43.79828437,-79.15602387,"{u'type': u'Point', u'coordinates': (-79.1560238706, 43.798284371)}"
4862,995,1009961,St Dorothy Catholic Elementary School,,ES,Toronto Catholic District School Board,155 John Garland Blvd,English Separate,1009961,155,John Garland Blvd,155 John Garland Blvd,M9V 1N7,Etobicoke,Toronto,St. Dorothy Catholic School,102003,907312,155,,,,1880,297393.802,4843286.387,43.73150129,-79.59174304,"{u'type': u'Point', u'coordinates': (-79.5917397331, 43.7314927044)}"
4863,996,372819,St Dunstan Catholic Elementary School,,ES,Toronto Catholic District School Board,14 Pharmacy Ave,English Separate,372819,14,Pharmacy Ave,14 Pharmacy Ave,M1L 3E4,Scarborough,Toronto,St. Dunstan,102003,14666168,14,,,,8691,322176.7,4839076.009,43.69343779,-79.28424241,"{u'type': u'Point', u'coordinates': (-79.2842391958, 43.6934291968)}"
